Course,Requirement,Completed,Proof URL,Instructor Notes
Affiliate Marketing,6 branded social accounts,,,
Affiliate Marketing,Affiliate accounts applied/approved,,,
Affiliate Marketing,30 selected products,,,
Affiliate Marketing,20 Canva designs,,,
Affiliate Marketing,20 short videos,,,
Facebook Content Monetization,1 branded Facebook Page,,,
Facebook Content Monetization,Meta Business Suite connected,,,
Facebook Content Monetization,20 static posts,,,
Facebook Content Monetization,20 stories,,,
Facebook Content Monetization,5 status posts,,,
Facebook Content Monetization,5 videos,,,
